area_cineunesco,carrera_estandar,cohorte_2005_a,cohorte_2006_a,cuarto_ano,duracion_esperada_del_plan_de_estudios_semestres,duracion_real_de_la_carrera_semestres,emplea_1_2015,emplea_1_2016,emplea_1_2017,emplea_1_2018,emplea_1_2019,emplea_2_2015,emplea_2_2016,emplea_2_2017,emplea_2_2018,emplea_2_2019,es_tecnico,estudiantes_adm_delegada_matricula,estudiantes_establecimientos_municipales_matricula_2011,estudiantes_particular_pagado_matricula_2011,estudiantes_particular_subvencionado_matricula_2011,id_api,id_area_cineunesco,id_estadisticas,id_tipo_institucion,ingreso_ano_1,ingreso_ano_10,ingreso_ano_2,ingreso_ano_3,ingreso_ano_4,ingreso_ano_5,ingreso_ano_6,ingreso_ano_7,ingreso_ano_8,ingreso_ano_9,ingresos_4_2015,ingresos_4_2016,ingresos_4_2017,ingresos_4_2018,ingresos_4_2019,matricula_de_1er_ano_2011,matricula_femenina_1er_ano_2011,matricula_femenina_2011,matricula_masculina_1er_ano_2011,matricula_masculina_2011,matricula_total_2011,mayor_a_1000000_a_1500000,mayor_a_1500000_a_2000000,mayor_a_2000000_a_2500000,mayor_a_2500000_a_3000000,mayor_a_3000000,mayor_a_500000_a_1000000,menor_a_500000,n_de_titulados_2010,n_de_titulados_femenino_2010,n_de_titulados_masculino_2010,percentil10_a,percentil10_b,percentil25_a,percentil25_b,percentil50_a,percentil50_b,percentil75_a,percentil75_b,percentil90_a,percentil90_b,primer_ano,quinto_ano,segundo_ano,tasa_de_retencion_1er_ano_cohorte_2009,tasa_de_retencion_2do_ano_cohorte_2009,tercer_ano,tipo_institucion
Administración y Comercio,Secretariado Bilingüe,0.754,0.739,1136314,6.00,7.20,0.701,0.716,0.783,0.836,0.595,0.749,0.748,0.808,0.667,0.677,1,6.00000,44.00000,28.00000,133.00000,1,1,1,1,,,,,,,,,,,1072578.000,1114986.000,1052700.000,1185675.000,1223330.000,138,123,271,15,27,298,0,0,0,0,0,0,0,37,35,2,662930,642467,761869,822712,1017025,1000902,1458946,1522462,1890400,1979601,1031118,1166458,1096161,0.638,,1113420,Centro de Formación Técnica
Agropecuaria,Técnico Agropecuario,0.483,0.551,997009,4.60,6.70,0.413,0.505,0.490,0.438,0.509,0.527,0.560,0.596,0.534,0.538,1,197.00000,1379.00000,61.00000,1181.00000,2,2,2,1,,,,,,,,,,,949434.000,933116.000,981849.000,971452.000,1054268.000,1428,683,1426,745,1639,3065,0,0,0,0,0,0,0,1094,515,579,551775,578709,636630,700736,755239,907311,958329,1208673,1345623,1630050,847957,1031961,884213,0.665,,935086,Centro de Formación Técnica
Educación,Técnico Asistente del Educador de Párvulos,0.350,0.449,688296,5.00,6.10,0.326,0.308,0.390,0.344,0.303,0.459,0.411,0.450,0.456,0.441,1,338.00000,4698.00000,47.00000,3973.00000,3,7,3,1,,,,,,,,,,,699656.000,694307.000,674155.000,684156.000,712168.000,3985,3967,10206,18,30,10236,0,0,0,0,0,0,0,2501,2495,6,524986,536430,554594,585010,618218,686243,724572,798552,846621,929580,644644,711830,669809,0.725,,677572,Centro de Formación Técnica
Educación,Técnico Asistente del Educador Diferencial,0.320,0.440,655974,5.00,6.40,0.279,0.228,0.325,0.348,0.286,0.499,0.366,0.390,0.446,0.466,1,127.00000,2096.00000,25.00000,1739.00000,4,7,4,1,,,,,,,,,,,698602.000,678993.000,641607.000,649440.000,686905.000,1715,1654,4414,61,156,4570,0,0,0,0,0,0,0,1105,1065,40,524841,535403,558425,569860,612891,647272,715889,770456,841848,955081,620473,708506,646879,0.742,,655864,Centro de Formación Técnica
Salud,Técnico Dental y Asistente de Odontología,0.540,0.590,764440,5.00,6.10,0.291,0.562,0.612,0.531,0.455,0.402,0.595,0.606,0.587,0.587,1,96.00000,1289.00000,14.00000,1340.00000,5,9,5,1,,,,,,,,,,,768186.000,784931.000,770937.000,747838.000,781639.000,1093,914,2478,179,392,2870,0,0,0,0,0,0,0,825,735,90,533958,546147,569097,632402,625593,740415,712310,857914,817939,1027054,657951,801110,694370,0.721,,725073,Centro de Formación Técnica
Agropecuaria,Técnico en Acuicultura y Pesca,0.851,0.868,1431509,5.00,6.60,,,,,,,,,,,1,1.00000,162.00000,1.00000,170.00000,6,2,6,1,,,,,,,,,,,,,,,,166,67,163,99,191,354,0,0,0,0,0,0,0,67,26,41,693680,781244,856532,975926,1221749,1399105,1599006,1755713,2076737,1940236,1303716,1528200,1361160,0.837,,1485977,Centro de Formación Técnica
Administración y Comercio,Técnico en Administración de Empresas,0.618,0.680,1191714,4.50,6.30,0.588,0.647,0.632,0.616,0.604,0.661,0.689,0.731,0.657,0.665,1,342.00000,4658.00000,335.00000,4850.00000,7,1,7,1,,,,,,,,,,,1300312.000,1235202.000,1199352.000,1178422.000,1199366.000,6068,3808,7873,2260,4444,12317,0,0,0,0,0,0,0,3401,2229,1172,566007,627221,670651,793214,851124,1062350,1125683,1479039,1478676,2062576,971478,1266311,1037094,0.674,,1094559,Centro de Formación Técnica
Administración y Comercio,Técnico en Administración de Recursos Humanos y Personal,0.691,0.725,1075790,5.00,5.90,0.616,0.673,0.695,0.690,0.686,0.642,0.687,0.763,0.716,0.701,1,56.00000,417.00000,16.00000,428.00000,8,1,8,1,,,,,,,,,,,1053647.000,1132616.000,1064267.000,1037240.000,1136249.000,519,413,1010,106,218,1228,0,0,0,0,0,0,0,363,314,49,604154,607446,712400,777992,895151,957175,1182178,1297152,1587418,1728552,974163,1161149,1011204,0.691,,1008673,Centro de Formación Técnica
Administración y Comercio,Técnico en Administración Financiera y Finanzas,0.809,0.797,1233962,4.60,6.00,,,,,,,,,,,1,0.00000,2.00000,1.00000,3.00000,9,1,9,1,,,,,,,,,,,,,,,,0,0,4,0,4,8,0,0,0,0,0,0,0,86,43,43,642926,591189,994740,805636,1219216,1048509,1397132,1314782,2247518,1752210,1295939,1327012,1345145,0.563,,1252038,Centro de Formación Técnica
Ciencias Sociales,Técnico en Administración Pública o Municipal,0.743,0.784,1298737,5.00,5.60,0.793,0.794,0.677,0.761,0.768,0.894,0.840,0.807,0.712,0.812,1,50.00000,898.00000,21.00000,788.00000,10,5,10,1,,,,,,,,,,,1175162.000,1324227.000,1375289.000,1311427.000,1234720.000,1242,935,1864,307,683,2547,0,0,0,0,0,0,0,452,343,109,604051,718208,685075,916595,906042,1171554,1198803,1672919,1607091,2056503,1061381,1366383,1127267,0.645,,1207582,Centro de Formación Técnica
Administración y Comercio,Técnico en Comercio Exterior,0.746,0.763,1176620,4.50,6.90,0.655,0.680,0.776,0.737,0.729,0.711,0.772,0.793,0.753,0.756,1,48.00000,340.00000,72.00000,596.00000,11,1,11,1,,,,,,,,,,,1231966.000,1214131.000,1184596.000,1153803.000,1188367.000,683,412,743,271,514,1257,0,0,0,0,0,0,0,334,190,144,648584,711504,760117,875283,966256,1121893,1282534,1459894,1736029,1987481,1024402,1274967,1092165,0.674,,1122974,Centro de Formación Técnica
Tecnología,Técnico en Computación e Informática,0.665,0.770,1560874,4.50,7.10,0.650,0.663,0.717,0.655,0.635,0.734,0.754,0.823,0.772,0.744,1,215.00000,2241.00000,237.00000,2749.00000,12,10,12,1,,,,,,,,,,,1583102.000,1471266.000,1515520.000,1600204.000,1561288.000,2871,501,944,2370,4970,5914,0,0,0,0,0,0,0,1276,175,1101,588571,684419,685054,957156,884536,1446515,1166296,2176641,1773434,3080814,1070899,1676016,1223995,0.690,,1400911,Centro de Formación Técnica
Tecnología,Técnico en Construcción y Obras Civiles,0.644,0.669,1237890,4.50,6.70,0.535,0.656,0.662,0.620,0.649,0.613,0.658,0.729,0.639,0.646,1,202.00000,1689.00000,40.00000,1617.00000,13,10,13,1,,,,,,,,,,,1198697.000,1232341.000,1235260.000,1220721.000,1265686.000,2033,373,702,1660,3445,4147,0,0,0,0,0,0,0,1314,276,1038,594278,612192,717642,800160,988839,1100178,1414858,1556050,2036719,2168328,1141726,1348676,1157125,0.611,,1196222,Centro de Formación Técnica
Administración y Comercio,Técnico en Contabilidad General,0.679,0.732,1232363,4.60,6.30,0.596,0.692,0.705,0.673,0.658,0.723,0.703,0.761,0.733,0.711,1,89.00000,790.00000,27.00000,859.00000,14,1,14,1,,,,,,,,,,,1215815.000,1225134.000,1262827.000,1211472.000,1214452.000,935,593,1434,342,775,2209,0,0,0,0,0,0,0,809,543,266,583911,651168,670866,804818,828682,1118239,1127729,1549528,1518728,2195138,969101,1310022,1039727,0.728,,1113651,Centro de Formación Técnica
Educación,"Técnico en Deporte, Recreación y Preparación Física",0.379,0.436,857458,5.00,6.50,0.233,0.301,0.363,0.378,0.392,0.308,0.398,0.462,0.443,0.427,1,187.00000,1893.00000,197.00000,2447.00000,15,7,15,1,,,,,,,,,,,865939.000,919185.000,847287.000,844409.000,930385.000,2141,500,1240,1641,3771,5011,0,0,0,0,0,0,0,928,244,684,542543,544797,602862,643100,749367,841469,946098,1043953,1296918,1361864,800713,934993,827048,0.742,,891696,Centro de Formación Técnica
Tecnología,Técnico en Electricidad y Electricidad Industrial,0.781,0.806,1424112,4.90,6.70,0.671,0.757,0.790,0.766,0.787,0.732,0.791,0.813,0.808,0.800,1,430.00000,2875.00000,56.00000,2513.00000,16,10,16,1,,,,,,,,,,,1229648.000,1351911.000,1375227.000,1434720.000,1482024.000,3351,271,453,3080,6262,6715,0,0,0,0,0,0,0,1381,59,1322,635561,737405,797696,930277,1069167,1274233,1504235,1810423,2279857,2596820,1300869,1483160,1358029,0.681,,1401814,Centro de Formación Técnica
Tecnología,Técnico en Electrónica y Electrónica Industrial,0.716,0.770,1212598,4.00,6.70,0.616,0.717,0.746,0.702,0.692,0.682,0.753,0.833,0.754,0.761,1,13.00000,45.00000,8.00000,83.00000,17,10,17,1,,,,,,,,,,,1093498.000,1088645.000,1218386.000,1185021.000,1243956.000,95,5,9,90,153,162,0,0,0,0,0,0,0,71,2,69,575339,666781,644005,895312,761638,1176492,1057111,1775000,1707914,2092703,954301,1254984,1060745,0.680,,1084977,Centro de Formación Técnica
Salud,Técnico en Enfermería,0.621,0.705,900953,5.00,6.10,0.671,0.774,0.724,0.598,0.540,0.732,0.818,0.755,0.715,0.661,1,724.00000,9623.00000,122.00000,9644.00000,18,9,18,1,,,,,,,,,,,894117.000,938524.000,898847.000,886797.000,925838.000,9000,7749,19275,1250,3313,22589,0,0,0,0,0,0,0,4930,4204,726,546853,624006,609818,744362,715852,886788,854925,1041229,1016498,1239402,771933,930596,830292,0.751,,868775,Centro de Formación Técnica
Salud,Técnico en Farmacia,0.793,0.804,1031249,4.90,6.00,0.779,0.796,0.742,0.801,0.817,0.831,0.897,0.873,0.767,0.810,1,105.00000,1111.00000,34.00000,1328.00000,19,9,19,1,,,,,,,,,,,1003204.000,1060801.000,1050737.000,951631.000,1051365.000,1369,1091,2621,278,629,3250,0,0,0,0,0,0,0,703,569,134,623386,689246,720178,777674,889935,897369,1109349,1106446,1319581,1284613,917186,1043844,959264,0.681,,975910,Centro de Formación Técnica
Administración y Comercio,Técnico en Gastronomía y Cocina,0.421,0.488,827987,4.30,6.50,0.200,0.366,0.450,0.427,0.394,0.270,0.378,0.500,0.503,0.471,1,353.00000,3863.00000,361.00000,4828.00000,20,1,20,1,,,,,,,,,,,770320.000,813714.000,818539.000,833945.000,836127.000,4899,2818,5662,2081,4419,10081,0,0,0,0,0,0,0,2843,1674,1169,537587,550266,586530,625748,675522,766531,815011,954277,987776,1283831,736381,861332,777621,0.772,,792177,Centro de Formación Técnica
Ciencias Básicas,Técnico en Geominería,0.708,0.735,1271889,,,,,,,,,,,,,1,1.00000,58.00000,8.00000,64.00000,21,4,21,1,,,,,,,,,,,,,,,,67,27,55,40,85,140,0,0,0,0,0,0,0,21,6,15,663420,749819,727010,837902,999083,1137215,1282037,1581850,3075951,2086258,1150747,1374155,1178896,0.739,,1360337,Centro de Formación Técnica
Tecnología,"Técnico en Instrumentación, Automatización y Control Industrial",0.801,0.841,1589994,4.20,7.30,0.711,0.776,0.824,0.784,0.794,0.781,0.850,0.871,0.836,0.828,1,124.00000,698.00000,37.00000,879.00000,22,10,22,1,,,,,,,,,,,1506205.000,1569642.000,1530423.000,1560103.000,1705845.000,958,132,236,826,1662,1898,0,0,0,0,0,0,0,751,55,696,637834,809539,802282,1061413,1087810,1463897,1478249,1982532,2122019,2868622,1283347,1724278,1445243,0.658,,1521182,Centro de Formación Técnica
Salud,Técnico en Laboratorio Clínico,0.613,0.708,848897,5.00,6.00,0.549,0.730,0.688,0.620,0.529,0.640,0.807,0.786,0.661,0.720,1,31.00000,523.00000,13.00000,685.00000,23,9,23,1,,,,,,,,,,,857096.000,867670.000,859254.000,829695.000,858734.000,416,330,1099,86,272,1371,0,0,0,0,0,0,0,387,319,68,544390,609751,598669,724011,663797,837206,790112,988778,880210,1182225,717824,883270,763082,0.790,,807895,Centro de Formación Técnica
Administración y Comercio,Técnico en Logística,0.744,0.780,1342105,4.60,5.80,0.650,0.771,0.763,0.731,0.739,0.753,0.757,0.801,0.777,0.768,1,207.00000,2013.00000,55.00000,2004.00000,24,1,24,1,,,,,,,,,,,1323194.000,1402732.000,1380482.000,1357925.000,1289232.000,2564,1245,2485,1319,2647,5132,0,0,0,0,0,0,0,1099,473,626,592497,688632,723407,898520,920303,1237673,1245643,1765322,1665355,2526576,1086249,1444886,1168231,0.678,,1244568,Centro de Formación Técnica
Tecnología,Técnico en Mantenimiento Industrial,0.807,0.844,1475778,4.30,6.70,0.672,0.775,0.851,0.777,0.795,0.758,0.812,0.865,0.856,0.816,1,320.00000,2191.00000,54.00000,1609.00000,25,10,25,1,,,,,,,,,,,1492919.000,1406677.000,1490255.000,1390964.000,1598153.000,2296,357,652,1939,3842,4494,0,0,0,0,0,0,0,1224,102,1122,647731,729498,808838,949243,1093048,1331286,1505784,1755293,2214999,2490644,1293137,1543825,1369760,0.714,,1415587,Centro de Formación Técnica
Tecnología,Técnico en Mecánica Automotriz,0.724,0.753,1293449,4.10,6.90,0.532,0.660,0.742,0.692,0.735,0.642,0.690,0.760,0.751,0.749,1,446.00000,3073.00000,111.00000,3335.00000,26,10,26,1,,,,,,,,,,,1171992.000,1268273.000,1308038.000,1263478.000,1319517.000,3928,293,524,3635,6809,7333,0,0,0,0,0,0,0,2053,104,1949,583270,643229,732385,848510,1015229,1174129,1414207,1624732,1930919,2216445,1138606,1388591,1181261,0.691,,1235133,Centro de Formación Técnica
Tecnología,Técnico en Mecánica Industrial,0.880,0.870,1593798,5.00,6.40,0.679,0.903,0.919,0.872,0.840,0.788,0.848,0.861,0.895,0.848,1,8.00000,523.00000,10.00000,449.00000,27,10,27,1,,,,,,,,,,,1522090.000,1587556.000,1568268.000,1540163.000,1783261.000,492,34,81,458,993,1074,0,0,0,0,0,0,0,221,12,209,633133,696787,930638,981326,1397111,1401514,2069172,1930284,3032877,2520974,1593346,1667794,1660212,0.602,,1625274,Centro de Formación Técnica
Tecnología,Técnico en Metalurgia,0.869,0.886,2602565,4.00,7.30,0.727,0.923,0.862,0.877,0.868,0.824,0.743,0.925,0.905,0.847,1,3.00000,129.00000,8.00000,41.00000,28,10,28,1,,,,,,,,,,,,,,,,117,64,107,53,95,202,0,0,0,0,0,0,0,92,44,48,703808,948141,893224,1164996,1204101,1615867,2290875,2563397,3614339,4683389,1937004,2367301,2401454,0.455,,2361626,Centro de Formación Técnica
Tecnología,Técnico en Minería,0.810,0.833,1868826,4.40,7.10,0.658,0.722,0.804,0.853,0.777,0.720,0.778,0.853,0.830,0.828,1,59.00000,942.00000,26.00000,649.00000,29,10,29,1,,,,,,,,,,,1491971.000,1883214.000,1794153.000,1783965.000,2175082.000,982,383,745,599,1123,1868,0,0,0,0,0,0,0,332,100,232,643035,730699,873619,1044910,1276351,1510227,2206100,2619480,3384228,4413661,1591180,2038466,1759119,0.643,,1815578,Centro de Formación Técnica
Salud,Técnico en Podología,0.423,0.505,894943,5.00,6.10,0.400,0.446,0.474,0.422,0.395,0.420,0.463,0.490,0.566,0.477,1,49.00000,494.00000,5.00000,601.00000,30,9,30,1,,,,,,,,,,,877790.000,923776.000,836055.000,961174.000,906248.000,708,666,1715,42,112,1827,0,0,0,0,0,0,0,472,449,23,538824,573631,678739,685132,832566,833471,1087843,1047886,1481046,1646585,901724,921757,913561,0.829,,944935,Centro de Formación Técnica
Tecnología,Técnico en Prevención de Riesgos,0.708,0.680,1154535,4.50,8.40,0.472,0.572,0.623,0.664,0.775,0.541,0.665,0.688,0.657,0.706,1,48.00000,826.00000,21.00000,720.00000,31,10,31,1,,,,,,,,,,,1039088.000,1077123.000,1140063.000,1154223.000,1219125.000,1126,684,1128,442,786,1914,0,0,0,0,0,0,0,160,74,86,665278,636921,865268,792591,1174649,1057909,1685084,1483415,2205037,2085532,1223006,1204052,1121425,0.571,,1132347,Centro de Formación Técnica
Arte y Arquitectura,Técnico en Producción Gráfica y Multimedia,0.379,0.419,874814,4.00,7.30,0.206,0.234,0.383,0.304,0.433,0.357,0.362,0.359,0.475,0.406,1,0.00000,6.00000,0.00000,9.00000,32,3,32,1,,,,,,,,,,,857808.000,830677.000,951673.000,814625.000,860279.000,0,0,7,0,8,15,0,0,0,0,0,0,0,216,113,103,560161,550218,606452,618524,741600,722821,946312,949080,1113343,1166567,805809,835477,853247,,,860557,Centro de Formación Técnica
Ciencias Básicas,Técnico en Química (Análisis e Industrial),0.757,0.812,1118996,5.10,8.80,0.635,0.784,0.757,0.783,0.718,0.694,0.701,0.808,0.799,0.829,1,41.00000,75.00000,7.00000,122.00000,33,4,33,1,,,,,,,,,,,1124151.000,1181266.000,1117353.000,1116318.000,1125553.000,107,70,170,37,98,268,0,0,0,0,0,0,0,66,43,23,611811,679015,700545,842233,792425,1031802,988752,1303872,1529947,1536970,907318,1202043,1013821,0.769,,1038415,Centro de Formación Técnica
Salud,Técnico en Radiología y Radioterapia,0.714,0.763,873354,5.00,5.60,0.549,0.769,0.739,0.840,0.600,0.697,0.906,0.736,0.771,0.780,1,11.00000,65.00000,2.00000,102.00000,34,9,34,1,,,,,,,,,,,842721.000,898953.000,811878.000,887958.000,895352.000,76,50,155,26,63,218,0,0,0,0,0,0,0,58,43,15,600194,639148,688354,733889,748349,918257,865996,1050233,968898,1215149,762120,906970,831152,0.635,,843271,Centro de Formación Técnica
Tecnología,Técnico en Refrigeración y Climatización,0.730,0.835,1196740,4.20,7.00,0.557,0.841,0.753,0.574,0.816,0.716,0.767,0.818,0.884,0.776,1,40.00000,163.00000,4.00000,221.00000,35,10,35,1,,,,,,,,,,,1120707.000,1216315.000,1214907.000,1054631.000,1406269.000,287,8,19,279,469,488,0,0,0,0,0,0,0,94,6,88,655126,628621,749488,772891,958410,1025732,1286548,1363327,1637672,2175439,1051435,1239814,1056251,0.667,,1137022,Centro de Formación Técnica
Ciencias Sociales,Técnico en Servicio Social,0.453,0.507,858348,5.00,5.80,0.440,0.410,0.445,0.468,0.446,0.569,0.515,0.527,0.507,0.495,1,67.00000,1312.00000,16.00000,1177.00000,36,5,36,1,,,,,,,,,,,809039.000,836936.000,864521.000,858597.000,853557.000,1397,1196,3067,201,479,3546,0,0,0,0,0,0,0,839,735,104,540387,578297,603092,651604,728287,806275,925571,1102175,1260392,1400988,816250,899060,817256,0.684,,808573,Centro de Formación Técnica
Tecnología,Técnico en Telecomunicaciones,0.744,0.807,1267322,4.00,7.70,0.643,0.758,0.754,0.727,0.747,0.730,0.786,0.858,0.790,0.787,1,34.00000,158.00000,17.00000,254.00000,37,10,37,1,,,,,,,,,,,1141902.000,1223215.000,1203341.000,1244948.000,1418731.000,239,41,63,198,438,501,0,0,0,0,0,0,0,276,24,252,637478,713352,743425,888258,1044339,1166539,1451933,1605827,2217204,2306598,1109263,1335674,1118687,0.705,,1167787,Centro de Formación Técnica
Tecnología,Técnico en Topografía,0.639,0.702,1317909,4.50,6.90,0.572,0.675,0.683,0.600,0.632,0.686,0.760,0.730,0.712,0.672,1,25.00000,333.00000,12.00000,360.00000,38,10,38,1,,,,,,,,,,,1206459.000,1383044.000,1344970.000,1345286.000,1223984.000,325,72,172,253,624,796,0,0,0,0,0,0,0,350,78,272,625225,658183,760647,895320,1031874,1277952,1389211,1797270,2054468,2268014,1100915,1417890,1126007,0.705,,1257151,Centro de Formación Técnica
Administración y Comercio,Técnico en Turismo y Hotelería,0.407,0.463,811174,4.40,7.20,0.183,0.285,0.419,0.393,0.409,0.216,0.330,0.471,0.454,0.467,1,67.00000,847.00000,61.00000,1065.00000,39,1,39,1,,,,,,,,,,,903535.000,849543.000,791160.000,800695.000,851762.000,1114,752,1433,362,733,2166,0,0,0,0,0,0,0,619,415,204,537911,551174,588298,625351,700121,786544,854998,983713,1075734,1276618,740146,874597,769889,0.718,,792098,Centro de Formación Técnica
Derecho,Técnico Jurídico,0.503,0.588,939243,5.00,6.30,0.368,0.576,0.512,0.497,0.500,0.613,0.570,0.632,0.571,0.590,1,25.00000,331.00000,8.00000,468.00000,40,6,40,1,,,,,,,,,,,1021713.000,1012545.000,915120.000,963761.000,945113.000,371,297,773,74,222,995,0,0,0,0,0,0,0,261,202,59,546351,581589,647657,712452,795861,955618,972799,1203768,1222338,1475472,844351,1002807,891182,0.688,,911715,Centro de Formación Técnica
Salud,Técnico Laboratorista Dental,0.451,0.538,800264,5.00,6.20,0.169,0.516,0.536,0.528,0.298,0.204,0.494,0.515,0.527,0.559,1,16.00000,257.00000,7.00000,334.00000,41,9,41,1,,,,,,,,,,,,,,,,260,214,534,46,131,665,0,0,0,0,0,0,0,151,113,38,542143,536938,551183,631007,654263,757906,795830,957999,962879,1223139,703440,859587,771560,0.815,,782357,Centro de Formación Técnica
Agropecuaria,Técnico Veterinario,0.431,0.511,814305,5.00,6.40,0.392,0.391,0.492,0.443,0.384,0.497,0.607,0.536,0.523,0.493,1,179.00000,1318.00000,47.00000,1596.00000,42,2,42,1,,,,,,,,,,,878305.000,838615.000,818054.000,822542.000,791405.000,1337,1053,2598,284,697,3295,0,0,0,0,0,0,0,639,512,127,539582,537058,582714,597888,676610,771503,793326,900723,994325,1165616,710402,839576,743009,0.793,,796763,Centro de Formación Técnica
Arte y Arquitectura,Actuación y Teatro,0.214,0.295,849782,8.00,9.50,,,,,,,,,,,1,14.00000,108.00000,50.00000,258.00000,43,3,43,2,,,,,,,,,,,,,,,,92,67,290,25,155,445,0,0,0,0,0,0,0,66,37,29,525282,601075,589287,746143,619586,914795,773059,1094692,857990,1293080,657984,868900,756370,0.729,0.635,727385,Instituto Profesional
Administración y Comercio,Administración de Empresas e Ing. Asociadas,0.811,0.841,1547074,8.10,10.20,0.778,0.807,0.824,0.807,0.803,0.810,0.838,0.861,0.837,0.827,1,1070.00000,9109.00000,623.00000,10841.00000,44,1,44,2,,,,,,,,,,,1490117.000,1585066.000,1538763.000,1526867.000,1575612.000,6814,4262,16933,2552,9739,26672,0,0,0,0,0,0,0,4540,3073,1467,642370,736592,822466,979948,1127919,1377977,1633879,1946928,2320863,2626144,1328109,1602419,1407779,0.712,0.561,1480552,Instituto Profesional
Administración y Comercio,Administración Gastronómica,0.497,0.559,941593,8.00,10.40,0.204,0.465,0.512,0.503,0.476,0.309,0.478,0.597,0.535,0.567,1,394.00000,2519.00000,588.00000,4382.00000,45,1,45,2,,,,,,,,,,,931446.000,867421.000,900148.000,963506.000,968037.000,1753,978,4425,775,3715,8140,0,0,0,0,0,0,0,1073,609,464,541527,563981,590569,647793,681816,806389,819402,1140025,1025328,1542821,732456,954519,768802,0.847,0.735,854800,Instituto Profesional
Ciencias Sociales,Administración Pública,0.982,0.988,2136593,8.10,9.10,0.990,0.994,0.993,0.971,0.981,0.986,0.986,0.991,0.992,0.982,1,198.00000,1667.00000,75.00000,1921.00000,46,5,46,2,,,,,,,,,,,2190406.000,2210603.000,2117528.000,2107958.000,2166083.000,1837,1122,3902,715,2516,6418,0,0,0,0,0,0,0,823,531,292,1021349,1295023,1298770,1726353,1695833,2053074,2154539,2473737,2660995,2853525,1856173,2170176,1956290,0.749,0.616,2041869,Instituto Profesional
Administración y Comercio,Administración Turística y Hotelera,0.479,0.566,988995,8.00,10.10,0.183,0.313,0.497,0.465,0.475,0.330,0.430,0.569,0.567,0.564,1,165.00000,1147.00000,224.00000,2397.00000,47,1,47,2,,,,,,,,,,,938636.000,965102.000,934110.000,987242.000,1061425.000,1065,753,2701,312,1382,4083,0,0,0,0,0,0,0,936,673,263,543904,567950,598591,676673,741499,932000,903641,1213005,1067087,1648120,754159,1046500,827942,0.820,0.715,914384,Instituto Profesional
Arte y Arquitectura,Animación Digital,0.343,0.460,1017908,8.00,10.10,0.404,0.476,0.357,0.339,0.336,0.394,0.443,0.605,0.466,0.345,1,80.00000,479.00000,177.00000,1169.00000,48,3,48,2,,,,,,,,,,,,,,,,503,281,1003,222,943,1946,0,0,0,0,0,0,0,207,123,84,573401,640353,657952,709005,799039,912776,892752,1137899,1207801,1848049,852936,1099596,912238,0.852,0.685,981701,Instituto Profesional
Arte y Arquitectura,Comunicación Audiovisual y/o Multimedia,0.471,0.570,1052418,8.00,9.40,0.332,0.464,0.506,0.541,0.379,0.444,0.547,0.574,0.568,0.571,1,101.00000,668.00000,156.00000,1361.00000,49,3,49,2,,,,,,,,,,,1025616.000,989681.000,1055492.000,1055762.000,1043881.000,615,268,860,347,1506,2366,0,0,0,0,0,0,0,463,213,250,564885,621313,654172,754544,772729,988307,956697,1359550,1206631,1748469,795410,1107773,885978,0.820,0.732,996242,Instituto Profesional
Tecnología,Construcción Civil,0.740,0.778,1576832,8.00,11.40,0.695,0.769,0.760,0.742,0.710,0.768,0.796,0.809,0.768,0.759,1,588.00000,3293.00000,118.00000,3937.00000,50,10,50,2,,,,,,,,,,,1512512.000,1597825.000,1625673.000,1554559.000,1549486.000,1992,397,1774,1595,7364,9138,0,0,0,0,0,0,0,1490,327,1163,613105,698392,755150,1022161,1023553,1443468,1408006,2041406,2014279,2783484,1249930,1657579,1371953,0.680,0.551,1466100,Instituto Profesional
Administración y Comercio,Contador Auditor,0.840,0.862,1511981,8.20,10.10,0.803,0.808,0.838,0.858,0.821,0.824,0.859,0.874,0.858,0.858,1,849.00000,3703.00000,183.00000,5974.00000,51,1,51,2,,,,,,,,,,,1532369.000,1571740.000,1517422.000,1529978.000,1484242.000,3145,1953,8041,1192,4895,12936,0,0,0,0,0,0,0,2092,1372,720,634073,761613,769966,1022771,999393,1432590,1414952,1966288,2046856,2638966,1236725,1617556,1322220,0.748,0.626,1423625,Instituto Profesional
Arte y Arquitectura,Diseño de Ambientes e Interiores,0.449,0.524,974895,8.00,9.70,0.325,0.328,0.490,0.342,0.495,0.512,0.458,0.557,0.571,0.439,1,36.00000,190.00000,107.00000,570.00000,52,3,52,2,,,,,,,,,,,987472.000,1136611.000,996011.000,979749.000,932913.000,324,274,817,50,129,946,0,0,0,0,0,0,0,143,128,15,549213,575994,605914,705619,730246,966880,869103,1169643,1062460,1898692,796958,1104677,835788,0.845,0.756,955141,Instituto Profesional
Arte y Arquitectura,Diseño de Vestuario,0.369,0.481,1005739,8.00,10.20,0.233,0.286,0.420,0.319,0.380,0.400,0.469,0.530,0.510,0.438,1,62.00000,405.00000,163.00000,867.00000,53,3,53,2,,,,,,,,,,,950564.000,1147256.000,1049852.000,930592.000,1066099.000,399,294,1278,105,295,1573,0,0,0,0,0,0,0,218,193,25,569960,659942,621283,743984,708901,920683,900794,1156409,1133372,1733643,814958,1088024,877750,0.757,0.667,964362,Instituto Profesional
